test,0,url,timestamp,,
"Okazja inwestycyjna! Znakomita lokalizacja, 2 pokoje do remontu!",549000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/okazja-inwestycyjna-znakomita-lokalizacja-2-pokoje-do-remontu/1007307967020912407250109,2020-05-17 00:59,,
3 pokoje w stanie deweloperskim! CESJA!,479900,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/3-pokoje-w-stanie-deweloperskim-cesja/1007307928280912407250109,2020-05-17 00:59,,
Śliczne mieszkanie w super lokalizacji!,549000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/sliczne-mieszkanie-w-super-lokalizacji/1007307880800912407250109,2020-05-17 00:59,,
2 pokoje z dużym balkonem!,549900,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokoje-z-duzym-balkonem/1007307870860912407250109,2020-05-17 00:59,,
RONDO WIATRACZNA 50 m2 ! 2 pokoje ! 13 piętro !!,430000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/rondo-wiatraczna-50-m2-2-pokoje-13-pietro/1007307928080912407250109,2020-05-17 00:59,,
"Praga-Południe, 3 pokoje, pow. 63 m2, idealna oferta!",550000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/praga+poludnie-3-pokoje-pow-63-m2-idealna-oferta/1007307880750912407250109,2020-05-16 23:59,,
Nowoczesne i wyremontowane mieszkanie z balkonem blisko Promenady,490000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/nowoczesne-i-wyremontowane-mieszkanie-z-balkonem-blisko-promenady/1007307867890912407250109,2020-05-16 23:59,,
Wyremontowane. 3pokojowe przy Centralnej Bibliotece Wojskowej,440000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/wyremontowane-3pokojowe-przy-centralnej-bibliotece-wojskowej/1007307870550912407250109,2020-05-16 23:59,,
2 pokoje idealne pod inwestycje!,375500,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokoje-idealne-pod-inwestycje/1007307870510912407250109,2020-05-16 23:59,,
2 pokoje na Praga Południe!,540000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokoje-na-praga-poludnie/1007307848960912407250109,2020-05-16 23:59,,
2 pokoje na Pradze - Południe!,540000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokoje-na-pradze-+-poludnie/1007307867220912407250109,2020-05-16 22:59,,
Okazja! 2 pokoje przy Balatonie, klucze w tym roku,389000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/okazja-2-pokoje-przy-balatonie-klucze-w-tym-roku/1007306105340911355524009,2020-05-16 12:59,
Osiedle Korona Pragi - apartament trzypokojowy,520000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/osiedle-korona-pragi-+-apartament-trzypokojowy/1007309443050911378581009,2020-05-17 12:47,,
ROI 7% NETTO!,206500,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/roi-7-netto/1007309268630911437540209,2020-05-17 12:47,,
ROI 7% NETTO!,162500,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/roi-7-netto/1007309328410911437540209,2020-05-17 12:47,,
ROI 7% NETTO!,277500,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/roi-7-netto/1007309328320911437540209,2020-05-17 12:47,,
Z widokiem na Jezioro Gocławskie,550000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/z-widokiem-na-jezioro-goclawskie/1007308952990911378581009,2020-05-17 12:47,,
Mieszkanie przy Placu Szembeka w kamienicy!,465000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/mieszkanie-przy-placu-szembeka-w-kamienicy/1007308952980911378581009,2020-05-17 12:47,,
2 pokoje Praga Południe ul. Grochowska,420000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokoje-praga-poludnie-ul-grochowska/1007308952750911378860309,2020-05-17 11:47,,
Po generalnym remoncie ! 2 pokoje w świetnej lokalizacji ,498147,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/po-generalnym-remoncie-2-pokoje-w-swietnej-lokalizacji/1007309086100910978453209,2020-05-17 12:24,1
2 POK | R.WIATRACZNA | CENA DO NEGOCJACJI | KW,359000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pok-r-wiatraczna-cena-do-negocjacji-kw/1007308913300911162365709,2020-05-17 11:24,1
"Praga Płd, świeżo po remoncie, 16 mins do centrum!",539000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/praga-pld-swiezo-po-remoncie-16-mins-do-centrum/1007299036460912577290809,2020-05-17 10:24,1
OKAZJA Bezpośrednio Rozkładowe 2 pokoje ul. Grenadierów.  ,410000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/okazja-bezposrednio-rozkladowe-2-pokoje-ul-grenadierow/1007079659840910476824009,2020-05-17 09:24,1
Osiedle Ateńska; Saska Kępa; balkon,450000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/osiedle-atenska-saska-kepa-balkon/1007308099750911293847109,2020-05-17 08:24,1
